Branch,Reviews,Restaurant,Review_Date
Geetham Veg Restaurant,"This is one of the worst restaurants we have visited. The overall experience was very unpleasant. The taste of the food was not good, and the quality did not meet expectations. …",Geetham,2026-06-02
Geetham Veg Restaurant,"The food was simply outstanding — every dish was prepared to perfection, bursting with authentic flavors and presented beautifully. The quality and freshness of the ingredients truly reflected the chef’s attention to detail and passion for …",Geetham,2026-01-13
Geetham Veg Restaurant,Visited this place for lunch with family. Tried their North Indian Thali and taste is good. Even though Side dish offered was less but when asked they did refill. Food taste was Good and great service.,Geetham,2026-02-28
Geetham Veg Restaurant,"Jam packed at 7pm on a Friday evening!
Met an old time friend after ages. Couldn't have been a better place to meet.
He suggested ghee roast dosa, and yes it was the right choice. …",Geetham,2026-05-22
Geetham Veg Restaurant,"Found a gem near Chennai Airport
South Indian + Chinese, and both are 🔥
Food quality is good must visit …",Geetham,2026-01-28
Geetham Veg Restaurant,"Quality of food is tooo good. You have to get token first to eat here. Too much crowded, ofcourse if taste is good crowd will there. staff are very active.",Geetham,2026-03-23
Geetham Veg Restaurant,"Wish to notice to the management of Geetham to maintain certain hygienic conditions, even though the food is served in banana leaf , you must ensure the bottom plate is cleaned well ! Or use them as well disposable! I have to stop my eating …",Geetham,2026-04-20
Geetham Veg Restaurant,"A wonderful place to dine. Very busy and crowded. Quite tasty food, though across all Geetam taste is consistent. Service is quick and courteous. We went to receive family member from Airport and came here for dinner just across the Airport. Though it was late evening the staff were fresh and welcoming the guests.",Geetham,2025-12-11
Geetham Veg Restaurant,"Early morning perfection! Had mini tiffin at Geetham Restaurant, opposite Chennai Airport, around 6 AM and it was excellent. Fresh, hot, authentic South Indian taste with quick service. …",Geetham,2026-04-22
Geetham Veg Restaurant,"Best place to have food....Near to the Chennai Airport.

Affordable rates …",Geetham,2026-02-01
Geetham Veg Restaurant,"Definitely one stop after/before flight.

Decent price. Good quality of food with many different varieties. Got car parking as well. Less waiting time they understand the urgency of flight ✈️🛫. …",Geetham,2026-03-25
Geetham Veg Restaurant,"Very poor service. We had to wait outside for more than 30 minutes before getting a table. Even after being seated, it took a long time for someone to take our order. Whenever we asked for anything additional, we had to wait another 15 …",Geetham,2025-12-13
Geetham Veg Restaurant,"We dropped by Geetham late at night and ended up on a full on dessert binge and honestly, everything we tried was so good! We started off with Cold boosted with ice cream it was thick, creamy and packed with bold boost flavor. …",Geetham,2026-02-01
Geetham Veg Restaurant,"One of the best veg restaurants in India... Once become a popular they don't focus the taste and service. But, geetham is the best example of their standard.
I will always recommend gheetham.",Geetham,2026-05-04
Geetham Veg Restaurant,Amazing traditional Indian food. Everything here is delicious and a must try especially their array of chutneys. Service can be slow due to the crazy crowds and the noise level is off the charts. Still it's highly recommended.,Geetham,2026-01-22
Geetham Veg Restaurant,"Food options for Jain or no onion no garlic is very very less, & what ever they have is very poor in taste or sweet. Kindly hire some good chef from northwest for better options & services. Name is so famous in veg but poor in jain option …",Geetham,2026-05-20
Geetham Veg Restaurant,"I recently visited Geetham Hotel and had a wonderful experience, thanks to one of the staff members, Binod. He was extremely kind, polite, and genuinely caring in the way he interacted with us. …",Geetham,2025-12-23
